GeneName,log2FoldChange,pvalue,padj
ADAM8,1.581337086524227,7.613536194271702e-13,8.044412143727738e-12
CTHRC1,1.5724140031086888,5.694348213255496e-11,4.4988626187717005e-10
PTK6,1.568592891056393,4.970326998382155e-10,3.330292271041423e-9
PRRT3,1.5656831701759597,8.197866324558945e-15,1.2033967131394542e-13
H1-2,1.5644937939625299,1.1238034120180555e-8,5.911033811024948e-8
SEZ6L2,1.5627729907331072,5.900508773317053e-11,4.646469439430259e-10
EGLN3,1.5577420699482016,2.7994124314158487e-11,2.3364887611166133e-10
FANCI,1.5541143226067033,3.7632775844965546e-19,1.0367883660439648e-17
EIF4EBP1,1.5525479740817767,4.448934120459566e-11,3.585624607562341e-10
BGN,1.5524564132795566,6.502220569941725e-14,8.247869496040855e-13
FNDC10,1.5522818769583693,4.1743266977162344e-14,5.453281412845325e-13
EME2,1.5500534960632606,1.5963917880360388e-16,3.088391758946984e-15
TSPAN1,1.5493538459159268,1.3465653814027337e-6,4.836468487929505e-6
PEG10,1.5489013908045148,2.4323736595248247e-5,6.888740128521706e-5
GATA3,1.5477451162116256,8.681271323765633e-10,5.549895198005756e-9
UBE2S,1.5398355021873587,1.4839910220010737e-11,1.2990157071662495e-10
C3orf52,1.53912938946923,1.2303093020752645e-12,1.2557774882647208e-11
ECT2,1.5383466130301988,1.406165409608808e-22,5.929947549731881e-21
FAM110A,1.5376226731287372,6.47702448508948e-16,1.1200825615851682e-14
CHTF18,1.5309511474151416,1.849939486020189e-13,2.1824746206238183e-12
RASSF7,1.5290677394595875,2.0759447709774724e-11,1.774240797595413e-10
TYMS,1.5244858705655058,1.0877610693097601e-13,1.3323340995431012e-12
MAL2,1.5182771278521523,2.6287904711207667e-17,5.783940590349238e-16
TESMIN,1.5117868699158428,7.115984672919158e-12,6.51000881352214e-11
RACGAP1,1.511384485823111,1.417653746302005e-21,5.1827911675641747e-20
MANEAL,1.5099824946265987,2.352886096513145e-16,4.435882317249782e-15
LAGE3,1.5085178282636271,3.137499934222526e-15,4.9454199782868176e-14
RAB11FIP1,1.5081908377630244,8.022149805368869e-10,5.162849422933178e-9
CXCL10,1.5079417160487423,7.231917171813249e-6,2.25909303466486e-5
H2AC25,1.506788424983181,3.725597805982268e-7,1.4741408602682924e-6
ENO2,1.5065629623094967,1.16881790866078e-13,1.4243579457253992e-12
ARMT1,1.5049699500999782,6.885203294661267e-12,6.304879016968389e-11
FBXL6,1.502182748996298,5.444335487405529e-15,8.217784256107404e-14
PARD6B,1.496579408431085,1.317642597473684e-7,5.676135114117147e-7
DNAJC12,1.493395436589049,2.41301165573019e-7,9.881221068929206e-7
H2BC12,1.4924672240818724,3.145852541779273e-13,3.605854094401456e-12
MB,1.4904812381774333,9.039701804839202e-10,5.756075023412512e-9
SPTSSB,1.4898098842400387,3.1716155833717976e-6,1.0636583130142949e-5
COL1A1,1.4861543703099895,4.249030957351628e-8,2.0056177052005846e-7
DBNDD1,1.4854168269409698,4.6514140719291964e-14,6.011202459892369e-13
EXOSC4,1.4816654455632956,5.643702601132252e-12,5.2277649816846444e-11
GALNT6,1.4808193628054194,5.316615631800107e-10,3.547485031211522e-9
ADCY1,1.4779470376486072,2.8001742338914254e-6,9.486848223701921e-6
HSPB1,1.4757723261962312,1.220590162334049e-9,7.552107085483835e-9
C1QTNF6,1.4755263499523645,2.674407557659182e-16,5.002807133636777e-15
PSMD3,1.4750027741266747,4.0270419728574574e-17,8.681616271081715e-16
GP2,1.46868015657354,0.0013986725905704136,0.002812262015544652
IFI6,1.4675613961849443,5.489262106800881e-8,2.543578561777854e-7
CA12,1.4672310325206386,5.077555112593382e-7,1.9606703778146735e-6
SLC4A8,1.465255811255878,3.371769511195463e-7,1.3474465440625261e-6
STIL,1.4561327020213604,1.4760970925350027e-14,2.0840930315306976e-13
WNT7B,1.4524503895176455,1.585996460838772e-7,6.750489584313763e-7
PAXX,1.4524345927347917,1.6886136712398586e-11,1.457452464001009e-10
CCNF,1.4476405774981123,9.817424933298853e-21,3.221656680329982e-19
QPRT,1.4470950572485355,6.136018779125085e-9,3.3770933349334685e-8
KCNK1,1.4396896646046464,2.0211415247150817e-7,8.412673489236151e-7
GINS2,1.439605847073112,5.107411681861271e-12,4.7538977077537386e-11
POSTN,1.4386203694036679,1.8493898365477488e-9,1.1106735339416992e-8
SORD,1.4373734783535068,1.749036974088717e-12,1.746312617431258e-11
KRT18,1.4353863218586105,2.030395190106281e-8,1.0199712514562116e-7
MIF,1.4327612788472432,2.036826817839107e-10,1.4625907284184476e-9
TMEM63C,1.4317427538227998,1.8724194849805783e-7,7.854848755710412e-7
SIX4,1.4314583253145177,3.3729071796046988e-12,3.2365770989919346e-11
ABCC11,1.4223550837734453,4.987246507710606e-4,0.0011064230542602094
PRR15L,1.4211268725850814,2.1641642975566532e-7,8.926829567141665e-7
LAPTM4B,1.4138296123085519,4.916672755708698e-11,3.9231376386837456e-10
TMEM150C,1.4134848771110546,1.644205546126372e-7,6.982789896645348e-7
CELSR1,1.4112083754255482,2.467464509549182e-9,1.447508923692214e-8
MATN3,1.40761379598793,3.527327255221696e-7,1.4037769684998597e-6
HID1,1.4055912401143777,3.443920745178508e-14,4.542290530163423e-13
VAV3,1.4028617277220736,5.537172207731382e-10,3.6844228911652066e-9
ESR1,1.4007519627086669,1.7129508335443378e-5,4.9773412706342726e-5
LLGL2,1.4007319612194677,5.465354859978617e-13,5.9512329534195254e-12
SUSD4,1.3969651398236207,4.323460451738817e-7,1.6939719740614804e-6
ISG15,1.3958192409492172,9.389610962408563e-6,2.8733643985855616e-5
GAMT,1.394863951608851,2.773536038822109e-9,1.612306469968233e-8
FBXL16,1.3915241076572094,1.782628968983563e-8,9.049618551624582e-8
FAM234B,1.3900671818562278,7.163454518723917e-8,3.2488969432797385e-7
